Complaint ID,Product,Country,Status,Event Description,Summary of Investigation Results,Deployment Force (lbs)
VA201301-0455,PROTEGE RX CAROTID STENT SYSTEM,USA,Closed,Physician reported elevated deployment force during stent placement in the right carotid artery.,Investigation confirmed deployment force measured at 5.51 lbs which exceeds the specification limit of 3 lbs.,5.51
VA201301-0462,PROTEGE RX CAROTID STENT SYSTEM,USA,Open,Patient experienced mild discomfort during procedure; deployment system required additional force.,Root cause analysis ongoing; initial bench testing shows force within range on duplicate lot.,2.8
VA201302-0101,EVERFLEX PERIPHERAL STENT,Germany,Closed,Stent delivery catheter stuck at lesion site requiring withdrawal and replacement.,Investigation found kinked delivery catheter; no product defect identified in stent itself.,N/A
VA201302-0118,PROTEGE RX CAROTID STENT SYSTEM,France,Closed,Deployment force alarm triggered during procedure in cath lab.,Lab testing reproduced high deployment force on same lot; corrective action issued to manufacturing.,4.9
VA201303-0200,EVERFLEX PERIPHERAL STENT,UK,Open,Physician noted difficulty advancing stent through calcified lesion.,Investigation pending additional device returns from hospital.,N/A
VA201303-0215,PROTEGE RX CAROTID STENT SYSTEM,USA,Closed,Complaint of stent not fully expanding after deployment.,Investigation determined user technique issue; device met all specifications upon return.,2.1
VA201304-0301,PROTEGE RX CAROTID STENT SYSTEM,Canada,Closed,Elevated deployment force reported during emergency carotid intervention.,Testing confirmed deployment force of 5.2 lbs on returned unit from complaint lot.,5.2
VA201304-0310,EVERFLEX PERIPHERAL STENT,USA,Closed,Patient had transient leg pain post-procedure; stent patency confirmed on imaging.,No device-related cause found; stent deployment force was within specification at 2.5 lbs.,2.5
VA201305-0405,PROTEGE RX CAROTID STENT SYSTEM,USA,Open,Physician reported audible click during deployment with higher than expected resistance.,Device returned for analysis; deployment force measurement in progress.,N/A
VA201305-0412,PROTEGE RX CAROTID STENT SYSTEM,Japan,Closed,Deployment system generated excessive force causing procedure delay.,Investigation found contamination on delivery system mandrel; force measured at 4.1 lbs.,4.1
VA201306-0500,EVERFLEX PERIPHERAL STENT,Australia,Closed,Stent migrated slightly during deployment requiring repositioning.,Migration attributed to lesion morphology; deployment force was 2.9 lbs within spec.,2.9
VA201306-0511,PROTEGE RX CAROTID STENT SYSTEM,USA,Closed,Complaint alleges deployment force exceeded labeling limit during routine case.,Returned device tested at 5.51 lbs deployment force; matches original complaint VA201301-0455 lot.,5.51
